Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index,Row,Col,Row2,Col2
CH,Porto,4, José António Ribeiro Carvalho,0.023509567,-0.008338087,9,13,1209,20,10,23.35448362,9.305354418
CH,Porto,5, Marcus Vinicius Teixeira Soares dos Santos,-0.012535186,-0.000616848,9,13,1210,21,1,21.75120774,3.233221594
CH,Porto,6, Sónia Cristina de Sousa Monteiro,0.007102398,-0.00815213,9,13,1211,21,2,25.70424081,1.719373585
CH,Porto,7, Raúl Gabriel Palha de Bessa Melo,-0.017796764,-0.006201101,9,13,1212,21,3,24.90596279,0.838757667
CH,Santarém,1, Pedro Saraiva Gonçalves dos Santos Frazão,0.010660289,0.019589336,9,14,1213,21,4,17.59305547,1.518018297
CH,Santarém,2, Pedro Alexandre Arrabaça da Silva Oliveira Correia,-0.00486483,-0.008363957,9,14,1214,21,5,16.21940887,1.035309152
CH,Santarém,3, Luísa Maria Lobo da Costa Macedo,0.017481911,-0.014465837,9,14,1215,21,6,18.14634038,2.708452291
CH,Setúbal,1, Rita Maria Cid Matias,-0.003486569,-0.011721562,9,15,1216,21,7,16.22611929,5.232289029
CH,Setúbal,2, Patricia Alexandra Martins de Carvalho,-0.020728921,-0.015879779,9,15,1217,21,8,16.41917564,6.585666099
CH,Setúbal,3, Nuno Miguel da Costa Gabriel,0.021542396,-0.010387033,9,15,1218,21,9,17.93419048,9.511240727
CH,Setúbal,4, Daniel Madeira Caetano Teixeira,-0.000477062,-0.004152693,9,15,1219,21,10,20.01864579,6.773298959
CH,Viana do Castelo,1, Eduardo Alexandre Ribeiro Gonçalves Teixeira,-0.005965536,0.012619711,9,16,1220,22,1,18.39783821,4.44011002
CH,Vila Real,1, Maria Manuela Pereira Tender,0.014574097,-0.008174722,9,17,1221,22,2,26.69074232,6.414340194
CH,Viseu,1, João José Rodrigues Tilly,-0.002161206,0.014688221,9,18,1222,22,3,23.56787865,-0.185167226
CH,Viseu,2, Bernardo Cappelle Homem Caldeira Pessanha,-0.00770907,0.0002845,9,18,1223,22,4,22.0261631,-0.938865401
CH,Açores,1, Miguel António Taveira Franco Sousa Arruda,-0.008358014,0.016599886,9,19,1224,22,5,22.51240737,8.664338131
CH,Madeira,1, Francisco Manuel de Freitas Gomes,0.019696009,0.015735857,9,20,1225,22,6,20.27601029,9.350353098
CH,Europa,1, José Dias Fernandes,0.018097297,-0.020054029,9,21,1226,22,7,18.63592712,10.89110979
CH,Fora da Europa,1, Manuel Magno Alves,0.014170047,0.002965785,9,22,1227,22,8,23.78716754,4.163254067
CSD,Lisboa,4, Paulo de Faria Lince Núncio,0,0,#N/A,11,1228,22,9,22,9
CSD,Porto,2, João Nuno Lacerda Teixeira de Melo,0,0,#N/A,13,1229,22,10,22,10
